Folio,edad,genero,facebook,twitter,whatsapp,snapchat,instagram,messenger,youtube,tiktok,otras,videojuegos,influencers,uso de redes
S1-1,12,MASCULINO,1,,1,,,,,1,,,,
S1-2,12,MASCULINO,1,,,,1,1,1,,,,,
S1-3,12,FEMENINO,1,,,,1,,1,,,,,
S1-4,12,MASCULINO,1,,1,1,,,1,,pinterest,,,
S1-5,14,MASCULINO,1,,1,1,,1,1,,line,,,
S1-6,12,FEMENINO,1,,,,,,1,,,,,
S1-7,12,FEMENINO,,,1,1,,,1,,,,,
S1-8,12,FEMENINO,1,,,,,1,,,,,,
S1-9,13,MASCULINO,1,,,,1,,,,,,,
S1-10,12,FEMENINO,1,,,,,,,,,,,
S1-11,12,FEMENINO,,,1,,,,1,,,,,
S1-12,12,MASCULINO,1,,,,,1,,,,,,
S1-13,13,FEMENINO,1,,1,1,1,1,1,1,spotify,,,
S1-14,13,FEMENINO,,,,,,,1,,,,,
S1-15,13,FEMENINO,1,,1,,1,1,1,,,,,
S1-16,13,FEMENINO,1,,1,1,1,1,,1,,,,
S1-17,12,FEMENINO,,,1,1,1,,,,,,,
S1-18,12,MASCULINO,,,,,,,1,,,,"polinesios, yuya",
S1-19,13,FEMENINO,1,,1,,1,,,,,,,
S1-20,12,MASCULINO,1,,1,,,,,,,,,
S1-21,14,MASCULINO,1,,,,,,1,,,,,
S1-22,13,MASCULINO,1,,1,,,1,,,,,,
S1-23,12,FEMENINO,1,,1,,1,,,,,,,
S1-24,12,FEMENINO,1,,1,,1,,,,,,,
S1-25,15,MASCULINO,1,,1,1,1,1,1,1,,,,
S2-1,17,FEMENINO,1,,1,,,1,,,,,,memes
S2-2,14,FEMENINO,1,,1,1,1,,,,,,,
S2-3,14,MASCULINO,1,,,,,1,,,,,,
S2-4,15,MASCULINO,1,,1,,,,,,,,,memes
S2-5,14,FEMENINO,1,,,1,,,1,,vine,,,memes
S2-6,14,FEMENINO,1,,1,1,1,,1,,,,,memes
S2-7,14,MASCULINO,1,,1,,1,,1,,,,,
S2-8,16,MASCULINO,1,,1,,1,1,,,,,,videos  
S2-9,15,MASCULINO,1,1,1,1,1,,1,,,,,
S2-10,16,MASCULINO,1,,1,,,,,,,,,
S2-11,13,FEMENINO,,,,,,,1,,,,,
S2-12,14,FEMENINO,,,1,,,,,,,,,
S2-13,15,MASCULINO,1,,1,1,1,,,,,,,memes
S2-14,15,FEMENINO,1,,1,1,1,1,1,,,,,memes
S2-15,15,MASCULINO,1,,1,,1,1,1,,spotify,,,memes
S2-16,14,MASCULINO,1,,1,,,1,1,,google,,,memes
S2-17,14,MASCULINO,1,,1,,,,,,,1,,
S2-18,15,FEMENINO,1,,,,1,1,,,,,,
S2-19,15,FEMENINO,1,,,,,1,,,,,,memes
S2-20,17,MASCULINO,,1,1,,1,,,,,,,nada
S3-1,,FEMENINO,1,,,,1,,,,,,,memes
S3-2,,FEMENINO,1,,,,1,,,,,,,
S3-3,,MASCULINO,1,,1,,,,1,,,,,
S3-4,,,,,,,,,,,,,,
S3-5,,MASCULINO,1,,,,,,1,,,,,
S4-1,11,FEMENINO,1,,,,,1,,,,1, kimberly loaiza,
